Booking Ref,Stage,Date,Handled By,Status
FOY-0119,Invoice Issued,02-Feb-2026,Ciaran Bradley,done
FOY-0119,Pre-Arrival Logistics,2026-02-06,Orla McLaughlin,completed
FOY-0119,Arrival,"Feb 13, 2026",Aine Murray,closed
FOY-0120,REQUEST RECEIVED,05-Feb-2026,,complete
FOY-0120,Placement Offer,06-Feb-2026,Orla McLaughlin,done
FOY-0120,Booking Confirmed,2026-02-19 17:45,Aine Murray,done
FOY-0120,Invoice Issued,22-Feb-2026,Declan Quinn,closed
FOY-0120,pre-arrival logistics,"Feb 25, 2026",Aine Murray,completed
FOY-0120,Arrival,2026-02-28,Sean Gallagher,completed
FOY-0121,Request Received,"Jan 04, 2026",Aine Murray,closed
FOY-0121,Placement Offer,2026-01-05 17:30,Paul Doherty,done
FOY-0121,Booking Confirmed ,07/01/2026,Aine Murray,
FOY-0121,invoice issued,"Jan 11, 2026",Roisin Friel,closed
FOY-0121,Document Re-request,2026-01-11 17:30,Roisin Friel,ok
FOY-0121,pre-arrival logistics,2026-01-17,Declan Quinn,closed
FOY-0121,arrival,21/01/2026,Niamh Kelly,completed
FOY-0122,request received,"Jan 18, 2026",Orla McLaughlin,closed
FOY-0122,Placement Offer,2026-01-19,,closed
FOY-0122,Placement Re-allocation,22/01/2026,Sean Gallagher,completed
FOY-0122,Booking Confirmed,"Feb 02, 2026",Ciaran Bradley,ok
FOY-0122,Invoice Issued ,03/02/2026,Aine Murray,complete
FOY-0122,PRE-ARRIVAL LOGISTICS,"Feb 06, 2026",Roisin Friel,complete
FOY-0122,  Arrival ,2026-02-09,Niamh Kelly,complete
FOY-0123,REQUEST RECEIVED,"Jan 26, 2026",Sean Gallagher,done
FOY-0123,  Placement Offer,2026-01-28 11:30,Paul Doherty,complete
FOY-0123,Booking Confirmed,29-Jan-2026,Roisin Friel,done
FOY-0123,Invoice Issued,"Jan 31, 2026",Ciaran Bradley,complete
FOY-0123,Document Re-request,31/01/2026,Aine Murray,completed
FOY-0123,Pre-Arrival Logistics,2026-02-06,Declan Quinn,
FOY-0123,Arrival,2026-02-15 11:30,Declan Quinn,completed
FOY-0124,REQUEST RECEIVED,16/03/2026,Roisin Friel,ok
FOY-0124,PLACEMENT OFFER,2026-03-19,Niamh Kelly,completed
FOY-0124,  BOOKING CONFIRMED,"Mar 29, 2026",Roisin Friel,ok
FOY-0124,Invoice Issued,02/04/2026,Orla McLaughlin,completed
FOY-0124,Pre-Arrival Logistics,"Apr 06, 2026",Sean Gallagher,done
FOY-0124,Arrival,"Apr 12, 2026",Sean Gallagher,complete
FOY-0125,Request Received,2026-01-02 12:30,Aine Murray,closed
FOY-0125,Placement Offer,03/01/2026,Declan Quinn,closed
FOY-0125,Booking Confirmed,"Jan 05, 2026",Sean Gallagher,ok
FOY-0125,  Invoice Issued,09/01/2026,Orla McLaughlin,done
FOY-0125,Pre-Arrival Logistics,2026-01-13 12:30,Orla McLaughlin,done
FOY-0125,Arrival,"Jan 16, 2026",Roisin Friel,complete
FOY-0126,Request Received,12-Feb-2026,,closed
FOY-0126,PLACEMENT OFFER,13/02/2026,Sean Gallagher,
FOY-0126,  Booking Confirmed,2026-02-21 17:45,Roisin Friel,done
FOY-0126,  Invoice Issued,25/02/2026,Niamh Kelly,completed
FOY-0126,DOCUMENT RE-REQUEST,26/02/2026,Declan Quinn,done
FOY-0126,pre-arrival logistics,03-Mar-2026,Ciaran Bradley,ok
FOY-0126,Arrival,2026-03-06 17:45,Ciaran Bradley,completed
FOY-0127,Request Received,23-Jan-2026,Paul Doherty,done
FOY-0127,Placement Offer,2026-01-24,Sean Gallagher,ok
FOY-0127,  Booking Confirmed ,"Jan 25, 2026",Roisin Friel,completed
FOY-0127,  Invoice Issued,2026-01-26 17:45,Roisin Friel,ok
FOY-0127,pre-arrival logistics,31/01/2026,Ciaran Bradley,ok
FOY-0127,arrival,2026-02-04 17:45,Niamh Kelly,completed
FOY-0128,REQUEST RECEIVED ,"Feb 07, 2026",Niamh Kelly,complete
FOY-0128,Placement Offer,2026-02-08,Paul Doherty,completed
FOY-0128,placement re-allocation,11/02/2026,Ciaran Bradley,complete
FOY-0128,  booking confirmed,2026-02-22,Sean Gallagher,done
FOY-0128,  Invoice Issued,"Feb 24, 2026",Ciaran Bradley,complete
FOY-0128,Document Re-request,"Feb 25, 2026",Ciaran Bradley,ok
FOY-0128,Pre-Arrival Logistics ,"Feb 27, 2026",,complete
FOY-0128,  Arrival,09-Mar-2026,Niamh Kelly,done
FOY-0129,REQUEST RECEIVED,2026-03-30 10:30,Paul Doherty,closed
FOY-0129,Placement Offer,01-Apr-2026,Aine Murray,closed
FOY-0129,Booking Confirmed,02-Apr-2026,,completed
FOY-0129,INVOICE ISSUED ,04-Apr-2026,Declan Quinn,completed
FOY-0129,Pre-Arrival Logistics,2026-04-08 10:30,Orla McLaughlin,complete
FOY-0129,Arrival ,16/04/2026,Sean Gallagher,ok
FOY-0130,request received,04/03/2026,Paul Doherty,closed
FOY-0130,  PLACEMENT OFFER,"Mar 05, 2026",Niamh Kelly,complete
FOY-0130,PLACEMENT RE-ALLOCATION,08/03/2026,Orla McLaughlin,ok
FOY-0130,Booking Confirmed,18-Mar-2026,Roisin Friel,
FOY-0130,  Invoice Issued,"Mar 22, 2026",Niamh Kelly,complete
FOY-0130,Pre-Arrival Logistics,2026-03-27 09:15,Paul Doherty,ok
FOY-0130,arrival,"Apr 02, 2026",Declan Quinn,ok
FOY-0131,  Request Received,2026-03-24 17:00,Niamh Kelly,ok
FOY-0131,Placement Offer,"Mar 27, 2026",Aine Murray,ok
FOY-0131,Booking Confirmed,2026-03-28,Niamh Kelly,ok
FOY-0131,Invoice Issued,30/03/2026,Aine Murray,done
FOY-0131,Document Re-request,31-Mar-2026,Sean Gallagher,complete
FOY-0131,Pre-Arrival Logistics,2026-04-04 17:00,Orla McLaughlin,done
FOY-0131,Arrival,2026-04-12 17:00,,complete
FOY-0132,Request Received,09/03/2026,Sean Gallagher,closed
FOY-0132,Placement Offer,11/03/2026,Sean Gallagher,ok
FOY-0132,booking confirmed ,2026-03-23,Roisin Friel,done
FOY-0132,Invoice Issued ,2026-03-25,Orla McLaughlin,done
FOY-0132,document re-request ,25-Mar-2026,Orla McLaughlin,ok
FOY-0132,Pre-Arrival Logistics,"Mar 31, 2026",Sean Gallagher,ok
FOY-0132,Arrival,2026-04-03,Declan Quinn,ok
FOY-0133,Request Received,2026-03-09 12:15,Roisin Friel,done
FOY-0133,placement offer ,"Mar 11, 2026",Declan Quinn,ok
FOY-0133,Booking Confirmed,2026-03-12 12:15,Paul Doherty,completed
FOY-0133,Invoice Issued,14-Mar-2026,Aine Murray,done
FOY-0133,DOCUMENT RE-REQUEST ,15-Mar-2026,Sean Gallagher,complete
FOY-0133,pre-arrival logistics ,"Mar 17, 2026",Roisin Friel,complete
FOY-0133,Arrival,27-Mar-2026,Declan Quinn,completed
FOY-0134,Request Received,24-Mar-2026,Roisin Friel,complete
FOY-0134,  placement offer,26/03/2026,Paul Doherty,complete
FOY-0134,  Booking Confirmed ,28-Mar-2026,Sean Gallagher,ok
FOY-0134,Invoice Issued,31-Mar-2026,Sean Gallagher,done
FOY-0134,Pre-Arrival Logistics,05/04/2026,Declan Quinn,complete
FOY-0134,Arrival,2026-04-10,Ciaran Bradley,done
FOY-0135,Request Received,"Jan 28, 2026",Niamh Kelly,complete
FOY-0135,  Placement Offer,29/01/2026,Declan Quinn,completed
FOY-0135,Booking Confirmed,2026-01-30 15:30,Ciaran Bradley,
FOY-0135,Invoice Issued,02-Feb-2026,Roisin Friel,completed
FOY-0135,  Pre-Arrival Logistics,"Feb 08, 2026",Declan Quinn,closed
FOY-0135,Arrival,18/02/2026,Aine Murray,closed
FOY-0136,request received,2026-02-24,Paul Doherty,completed
FOY-0136,Placement Offer ,25/02/2026,Roisin Friel,closed
FOY-0136,Booking Confirmed,2026-02-27,Declan Quinn,ok
FOY-0136,Invoice Issued ,2026-03-03 10:00,,closed
FOY-0136,Pre-Arrival Logistics,08/03/2026,Roisin Friel,ok
FOY-0136,  arrival,13-Mar-2026,Niamh Kelly,done
FOY-0137,Request Received,2026-01-09,Niamh Kelly,
FOY-0137,Placement Offer,11/01/2026,Niamh Kelly,completed
FOY-0137,booking confirmed,12-Jan-2026,Niamh Kelly,done
FOY-0137,Invoice Issued,13-Jan-2026,Declan Quinn,ok
FOY-0137,Pre-Arrival Logistics,19-Jan-2026,Sean Gallagher,done
FOY-0137,arrival,25/01/2026,Sean Gallagher,completed
FOY-0138,Request Received,18/02/2026,,completed
FOY-0138,Placement Offer,21-Feb-2026,Niamh Kelly,complete
FOY-0138,Placement Re-allocation,"Feb 23, 2026",Paul Doherty,closed
FOY-0138,Booking Confirmed,"Feb 25, 2026",Niamh Kelly,complete
FOY-0138,Invoice Issued,2026-02-26,Paul Doherty,completed
FOY-0138,document re-request,"Feb 27, 2026",Orla McLaughlin,done
FOY-0138,PRE-ARRIVAL LOGISTICS,04-Mar-2026,Roisin Friel,complete
FOY-0138,Arrival,"Mar 09, 2026",Aine Murray,completed
FOY-0139,Request Received,2026-01-24 15:30,Sean Gallagher,done
FOY-0139,Placement Offer,2026-01-26,Sean Gallagher,complete
FOY-0139,Booking Confirmed,2026-02-03,Roisin Friel,complete
FOY-0139,Invoice Issued,2026-02-04,Roisin Friel,completed
FOY-0139,  Pre-Arrival Logistics,10/02/2026,Sean Gallagher,completed
FOY-0139,Arrival,"Feb 18, 2026",Paul Doherty,complete
FOY-0140,REQUEST RECEIVED,03/03/2026,Orla McLaughlin,closed
FOY-0140,Placement Offer,2026-03-04,,ok
FOY-0140,placement re-allocation,2026-03-06 12:30,,ok
FOY-0140,Booking Confirmed,2026-03-07 12:30,Aine Murray,completed
FOY-0140,Invoice Issued,11-Mar-2026,Orla McLaughlin,ok
FOY-0140,PRE-ARRIVAL LOGISTICS,"Mar 16, 2026",Sean Gallagher,
FOY-0140,Arrival ,25/03/2026,Declan Quinn,completed
FOY-0141,Request Received,2026-01-17 13:45,Niamh Kelly,done
FOY-0141,PLACEMENT OFFER,18/01/2026,Aine Murray,completed
FOY-0141,Booking Confirmed,2026-01-30 13:45,Paul Doherty,complete
FOY-0141,INVOICE ISSUED,01/02/2026,Roisin Friel,done
FOY-0141,Pre-Arrival Logistics,07/02/2026,Sean Gallagher,
FOY-0141,Arrival,2026-02-13,Aine Murray,closed
FOY-0142,Request Received,"Mar 03, 2026",Ciaran Bradley,complete
FOY-0142,  PLACEMENT OFFER,"Mar 04, 2026",Sean Gallagher,completed
FOY-0142,Booking Confirmed,"Mar 05, 2026",Orla McLaughlin,done
FOY-0142,Invoice Issued,07-Mar-2026,Ciaran Bradley,completed
FOY-0142,  document re-request,08-Mar-2026,,complete
FOY-0142,  Pre-Arrival Logistics,"Mar 13, 2026",Orla McLaughlin,complete
FOY-0142,arrival,"Mar 18, 2026",Ciaran Bradley,ok
FOY-0143,REQUEST RECEIVED,"Mar 09, 2026",Aine Murray,done
FOY-0143,PLACEMENT OFFER,12-Mar-2026,Paul Doherty,closed
FOY-0143,Booking Confirmed,2026-03-26,Niamh Kelly,closed
FOY-0143,Invoice Issued,30/03/2026,Orla McLaughlin,closed
FOY-0143,pre-arrival logistics ,02/04/2026,Orla McLaughlin,completed
FOY-0143,Arrival,05-Apr-2026,,completed
FOY-0144,Request Received,2026-03-12,Aine Murray,complete
FOY-0144,PLACEMENT OFFER,14-Mar-2026,Paul Doherty,ok
FOY-0144,Booking Confirmed,2026-03-16 12:15,Sean Gallagher,complete
FOY-0144,INVOICE ISSUED,"Mar 20, 2026",Niamh Kelly,done
FOY-0144,DOCUMENT RE-REQUEST,2026-03-21 12:15,Niamh Kelly,done
FOY-0144,Pre-Arrival Logistics,24/03/2026,Paul Doherty,ok
FOY-0144,arrival,2026-04-02,Paul Doherty,done
FOY-0145,Request Received,2026-01-17,Paul Doherty,completed
FOY-0145,PLACEMENT OFFER,2026-01-18 11:00,Niamh Kelly,ok
FOY-0145,Booking Confirmed,2026-01-26,Aine Murray,completed
FOY-0145,invoice issued ,2026-01-30 11:00,Roisin Friel,completed
FOY-0145,Pre-Arrival Logistics,2026-02-04 11:00,Niamh Kelly,complete
FOY-0145,Arrival ,2026-02-11,Aine Murray,complete
FOY-0146,  Request Received,"Mar 27, 2026",Orla McLaughlin,done
FOY-0146,Placement Offer,2026-03-28 12:30,Declan Quinn,done
FOY-0146,  Booking Confirmed,10/04/2026,Roisin Friel,ok
FOY-0146,Invoice Issued,14/04/2026,Roisin Friel,ok
FOY-0146,Document Re-request,15-Apr-2026,Roisin Friel,complete
FOY-0146,Pre-Arrival Logistics,"Apr 18, 2026",Declan Quinn,
FOY-0146,Arrival,26/04/2026,Orla McLaughlin,closed
FOY-0147,Request Received,2026-01-08,Roisin Friel,done
FOY-0147,Placement Offer,09/01/2026,Ciaran Bradley,
FOY-0147,booking confirmed,11-Jan-2026,Orla McLaughlin,completed
FOY-0147,Invoice Issued,2026-01-12,Niamh Kelly,done
FOY-0147,Document Re-request,"Jan 13, 2026",Orla McLaughlin,ok
FOY-0147,Pre-Arrival Logistics,17/01/2026,Sean Gallagher,done
FOY-0147,Arrival,2026-01-22,Declan Quinn,ok
FOY-0148,request received,"Jan 25, 2026",Aine Murray,complete
FOY-0148,  PLACEMENT OFFER,26/01/2026,Sean Gallagher,done
FOY-0148,Booking Confirmed,2026-02-03 12:00,,done
FOY-0148,Invoice Issued,04-Feb-2026,Sean Gallagher,ok
FOY-0148,  Pre-Arrival Logistics,07-Feb-2026,Paul Doherty,
FOY-0148,Arrival ,16/02/2026,Niamh Kelly,done
FOY-0149,Request Received,29-Mar-2026,Ciaran Bradley,complete
FOY-0149,Placement Offer ,2026-03-31 10:15,Sean Gallagher,closed
FOY-0149,Booking Confirmed ,2026-04-09,Niamh Kelly,completed
FOY-0149,Invoice Issued,"Apr 10, 2026",,closed
FOY-0149,pre-arrival logistics,2026-04-12 10:15,Orla McLaughlin,ok
FOY-0149,Arrival,"Apr 17, 2026",Orla McLaughlin,closed
FOY-0150,Request Received,2026-02-10,Aine Murray,complete
FOY-0150,placement offer,13/02/2026,Roisin Friel,complete
FOY-0150,Booking Confirmed,24-Feb-2026,Declan Quinn,complete
FOY-0150,Invoice Issued,"Feb 28, 2026",Ciaran Bradley,ok
FOY-0150,document re-request,2026-03-01 13:00,Niamh Kelly,completed
FOY-0150,  Pre-Arrival Logistics,2026-03-07 13:00,Declan Quinn,complete
FOY-0150,Arrival ,2026-03-16,Orla McLaughlin,completed
